bstopid,bstopnm,gpsx,gpsy,geometry,index_right,EMD_CD,COL_ADM_SE,EMD_NM,SGG_OID
206950101,인제공원,128.904292610594,35.248502828149,POINT (373322.9331860342 296327.14286662993),,,,,
206970101,삼방동장애인복지관,128.903319758034,35.251343488797,POINT (373228.3304816539 296640.6601076884),,,,,
206980101,영운초등학교,128.905467801289,35.251895918929,POINT (373422.6791766081 296705.7132946559),,,,,
206980201,삼방동장애인복지관,128.903030166283,35.251326663059,POINT (373202.00618412916 296638.2874767687),,,,,
207020101,활천초등학교,128.920932569113,35.232086745731,POINT (374872.8947456488 294534.70809336565),,,,,
207020201,활천초등학교,128.921216531346,35.232841612392,POINT (374897.12766361295 294618.9727997973),,,,,
207050101,못안마을,128.920746736271,35.234447538317,POINT (374850.9069131572 294796.3481541513),,,,,
207050201,못안마을,128.920769699782,35.235096890607,POINT (374851.6034625395 294868.44456495054),,,,,
207070201,안동육거리,128.918123419313,35.236115080324,POINT (374608.4937059453 294976.77055640274),,,,,
207080101,안동육거리,128.918092780203,35.235847863361,POINT (374606.27717550396 294947.06469869084),,,,,
207090101,한일여고,128.91673721825,35.238338190092,POINT (374477.5274768262 295221.0222004346),,,,,
207090201,한일여고,128.916199603572,35.239505112135,POINT (374426.0834730854 295349.5657741265),,,,,
207100201,계내,128.915086608257,35.240930479579,POINT (374321.7064421664 295505.7774548559),,,,,
207120101,계내,128.914131657809,35.241690264805,POINT (374233.14484310104 295588.41077766713),,,,,
207120201,한샘베스트빌라,128.913509160738,35.242939117557,POINT (374173.80355689826 295725.89813334914),,,,,
207160101,신어중학교,128.912367901675,35.244355682092,POINT (374066.8807759591 295881.0860785952),,,,,
207160201,신어중학교,128.912505238449,35.244851805162,POINT (374078.32212165545 295936.3797114305),,,,,
207170201,동성아파트,128.911874947852,35.246369783624,POINT (374017.7003741176 296103.71808172314),,,,,
207180101,동성아파트,128.911599471451,35.246315444474,POINT (373992.7396868914 296097.2052454163),,,,,
207200201,삼방시장,128.910897541172,35.24874929585,POINT (373923.6422055579 296366.0492233962),,,,,
207220101,삼방시장,128.910407935183,35.249300507395,POINT (373877.89684429206 296426.3568559558),,,,,
207230201,화인아파트,128.909681943288,35.251724972565,POINT (373806.63442609995 296694.1179135727),,,,,
207250101,화인아파트,128.909148986709,35.2518683342,POINT (373757.8161370152 296709.09271153726),,,,,
207410101,수가마을,128.867872758152,35.175100129455,POINT (370160.871434384 288119.05242255854),,,,,
207410201,수가마을,128.867939669268,35.175183792977,POINT (370166.79326651955 288128.4505763645),,,,,
207420201,용곡,128.849514469079,35.176826934691,POINT (368484.6918061953 288279.39548866235),,,,,
207420202,태정,128.847844956108,35.177201177069,POINT (368331.8149319511 288318.0943338161),,,,,
207430301,무계교,128.816497025534,35.197308432539,POINT (365435.03203525994 290496.62093598244),,,,,
207460101,장유중학교,128.820471480861,35.190633336164,POINT (365810.6097876184 289762.55643799587),,,,,
207460102,신문,128.821530390849,35.187912426927,POINT (365912.6008438573 289462.4034368105),,,,,
207470201,장유중학교,128.820728129782,35.190715610566,POINT (365833.8210785929 289772.1141126003),,,,,
207470202,신문,128.821942377588,35.187379642467,POINT (365951.2142909735 289403.9719346991),,,,,
207500101,응달,128.835198340522,35.177244320409,POINT (367179.5328096388 288301.53971366363),,,,,
207500102,응달마을,128.837981482794,35.177344874942,POINT (367432.88958253956 288317.3816989245),,,,,
207500103,장유모산마을,128.829397196667,35.175037046236,POINT (366655.5165875833 288046.8732882567),,,,,
207500201,율하2지구입구,128.822592237771,35.173974143019,POINT (366037.68537136615 287917.54400841304),,,,,
207510101,용곡,128.849496212461,35.176695697613,POINT (368483.29939800286 288264.80203172937),,,,,
207510102,태정,128.847776918279,35.17706038169,POINT (368325.90657833236 288302.3559916161),,,,,
207510201,응달마을,128.838400891227,35.177522675097,POINT (367470.73566169315 288337.81746876927),,,,,
207510202,응달,128.83520688858,35.177442008383,POINT (367179.9066689279 288323.4901642564),,,,,
207510203,장유모산마을,128.829409972439,35.17516980207,POINT (366656.4095264052 288061.62568629783),,,,,
207540201,영운초등학교,128.905831434779,35.252119021504,POINT (373455.3032522376 296731.1057000737),,,,,
207580101,무계교,128.816218583336,35.19725766227,POINT (365409.773378426 290490.5237346728),,,,,
207590101,장유농협,128.815102302182,35.200159386612,POINT (365302.2164145647 290810.65015501773),,,,,
207590303,내덕,128.827883344731,35.205706332472,POINT (366455.00136021484 291447.49815393734),,,,,
207610301,장유농협,128.815385848253,35.200336022344,POINT (365327.68391343934 290830.7220025513),,,,,
207700201,영천사거리,129.1084460614,35.307113899731,POINT (391768.75137595786 303206.9981742636),,,,,
207700302,영천사거리,129.10747864323,35.306900980813,POINT (391681.2513759682 303181.4981742365),,,,,
207960106,웅상문화체육센터입구,129.161308541595,35.397281447816,POINT (396358.98845481913 313316.7973664628),,,,,
207990202,봉우아파트,129.143598710261,35.387187325688,POINT (394774.0505978458 312161.58251831285),,,,,
207990204,태원아파트정문,129.144973631343,35.386355653087,POINT (394901.0013926107 312071.99816203036),,,,,
208040302,북부마을,129.175884834178,35.419607569084,POINT (397628.93961830984 315823.48136333894),,,,,
208080301,기점,129.142445276497,35.387941375796,POINT (394667.41692156787 312242.9905776356),,,,,
208130101,이진아파트,129.209339876628,35.248935528921,POINT (401090.6526049578 296950.71813160507),187.0,26710250,26710,기장읍,2338.0
208140102,좌천초등학교,129.241509037166,35.310540308162,POINT (403864.5837661574 303852.93832628377),188.0,26710253,26710,장안읍,2309.0
208160201,마지회관,129.165060957286,35.274398358159,POINT (396998.1307918937 299687.53103462287),191.0,26710330,26710,철마면,2306.0
208180101,녹산동행정복지센터,128.883785693546,35.154112873527,POINT (371654.8098710389 285817.57781235036),165.0,26440116,26440,범방동,404.0
208180103,녹산동행정복지센터,128.883712608579,35.154063710305,POINT (371648.25269451214 285811.99634553253),165.0,26440116,26440,범방동,404.0
